Model,RMSE,R2
Linear Regression,2.886679447508719,0.8581145084159277
Random Forest,2.791071678694834,0.8599230132779834
SVM,3.38181780738438,0.803944086648308
Gradient Boosting,2.7627985381883993,0.8603476934881602
